seqnames	start	end	width	strand	component	qvalue	enrichment
chr21	32826751	32827000	250	*	1	2.74869096935193e-54	1.34234665885564
chr21	39388751	39389000	250	*	1	3.19460995023593e-54	1.10429822975255
chr21	34361751	34362000	250	*	1	4.99781967996877e-54	1.18767361264106
chr21	29476501	29476750	250	*	1	1.15653932047981e-53	1.1586500226023
chr21	36331001	36331250	250	*	1	2.4030153945301e-53	1.13260320245015
chr21	46147501	46147750	250	*	1	4.04931806935861e-53	1.51383759381877
chr21	46143501	46143750	250	*	1	5.98767257707578e-53	1.2667482058537
chr21	46661251	46661500	250	*	1	2.34735545881056e-52	1.35942156811466
chr21	32569751	32570000	250	*	1	6.36564077912917e-52	1.14984579633369
chr21	42833501	42833750	250	*	1	1.94330246953034e-51	1.35439083418433
chr21	33127501	33127750	250	*	1	2.1345642733477e-51	1.17420035216025
chr21	35400501	35400750	250	*	1	2.99209096176504e-51	1.50321651719705
chr21	32940501	32940750	250	*	1	1.58933888999715e-50	1.34928329926175
chr21	41816501	41816750	250	*	1	2.79175439142137e-50	1.0747540739038
chr21	45478251	45478500	250	*	1	3.4381926717539e-50	1.14080360879685
chr21	45478001	45478250	250	*	1	4.99379810322302e-50	1.19726555736823
chr21	33197001	33197250	250	*	1	4.31485440552111e-49	1.03293407533535
chr21	34202001	34202250	250	*	1	7.79691846473158e-49	1.31236801436392
chr21	38219001	38219250	250	*	1	1.82297929627518e-48	1.24231849678392
chr21	36125501	36125750	250	*	1	1.84360647300638e-48	1.13151023854555
chr21	44911751	44912000	250	*	1	1.84360647300638e-48	1.44108886061886
chr21	39388501	39388750	250	*	1	5.96696828058188e-48	1.08260432139747
chr21	36630751	36631000	250	*	1	6.16162650939264e-48	1.3070996209204
chr21	31604751	31605000	250	*	1	8.34657958506331e-48	1.21931918251579
chr21	41817251	41817500	250	*	1	8.34657958506331e-48	1.21931918251579
chr21	34630501	34630750	250	*	1	1.18791243358838e-47	1.16850206754548
chr21	44793251	44793500	250	*	1	1.8917718772834e-47	1.02424419365874
chr21	36939501	36939750	250	*	1	3.73871163632633e-47	1.19779973257078
chr21	38159251	38159500	250	*	1	8.88996579215777e-47	1.16354585909887
chr21	36990001	36990250	250	*	1	8.92035000764082e-47	1.35756199208022
chr21	41069001	41069250	250	*	1	1.27267383731803e-46	1.52958482807583
chr21	33605751	33606000	250	*	1	6.00146552248566e-46	1.08219409876623
chr21	36589501	36589750	250	*	1	1.36423225896332e-45	1.12839309782707
chr21	37221251	37221500	250	*	1	1.7318737035867e-45	0.956242101215074
chr21	45880501	45880750	250	*	1	2.06730142336217e-45	1.26732870111382
chr21	25882001	25882250	250	*	1	2.57746171220321e-45	1.14047727283917
chr21	29298751	29299000	250	*	1	3.06339938922587e-45	1.29077760210689
chr21	31098751	31099000	250	*	1	3.64214064597778e-45	1.20375653689035
chr21	36543001	36543250	250	*	1	3.64214064597778e-45	1.20375653689035
chr21	38356251	38356500	250	*	1	8.85430113233395e-45	1.41800846608188
chr21	31098501	31098750	250	*	1	9.47516559674142e-45	1.12336236389674
chr21	45152251	45152500	250	*	1	9.47516559674142e-45	1.12336236389674
chr21	25639751	25640000	250	*	1	1.56422828627936e-44	1.18223708694533
chr21	28517001	28517250	250	*	1	6.1642891851807e-44	1.37364515011269
chr21	17679001	17679250	250	*	1	2.6336775986308e-43	1.14295247954308
chr21	33894751	33895000	250	*	1	2.8240017237613e-43	1.30534685253604
chr21	42107751	42108000	250	*	1	8.89553411876337e-43	1.08644688471605
chr21	35840251	35840500	250	*	1	9.0238177312294e-43	1.171444689815
chr21	14120251	14120500	250	*	1	1.81245271484625e-42	1.09678627729384
chr21	31866001	31866250	250	*	1	2.26604460781893e-42	1.29942577520839
chr21	41862001	41862250	250	*	1	3.63710988830724e-42	1.15122612230265
chr21	33445251	33445500	250	*	1	3.48792330051833e-41	0.965877103915907
chr21	44305001	44305250	250	*	1	3.72191698691954e-41	1.21797236021506
chr21	42924001	42924250	250	*	1	4.36315956884894e-41	1.02318458077726
chr21	34510751	34511000	250	*	1	5.00686811878923e-41	1.43787950719029
chr21	37642501	37642750	250	*	1	9.51002312551414e-41	1.26166945002844
chr21	41610501	41610750	250	*	1	9.51002312551414e-41	1.26166945002844
chr21	46153251	46153500	250	*	1	9.51002312551414e-41	1.26166945002844
chr21	15826251	15826500	250	*	1	1.01654765212177e-40	1.12663046072958
chr21	41069251	41069500	250	*	1	2.01568955964754e-40	2.96857146350766
chr21	34693251	34693500	250	*	1	3.04553103075611e-40	1.07063909083498
chr21	46285751	46286000	250	*	1	6.40573029500435e-40	1.08072548671998
chr21	45140251	45140500	250	*	1	2.73021775197314e-39	1.10297005697362
chr21	42258501	42258750	250	*	1	5.69828492518941e-39	1.00074611387118
chr21	29372501	29372750	250	*	1	8.80871790511181e-39	0.951223445536445
chr21	42537501	42537750	250	*	1	2.13710726009423e-38	0.956164895638476
chr21	41778251	41778500	250	*	1	3.01483229827832e-38	1.41759893027675
chr21	38219251	38219500	250	*	1	3.89362696790356e-38	1.15832636599838
chr21	42381501	42381750	250	*	1	4.65391116699908e-38	1.24290583418884
chr21	33127251	33127500	250	*	1	6.71972563879958e-38	1.08013648987502
chr21	41369501	41369750	250	*	1	1.39575175170852e-37	1.09143329119088
chr21	31786001	31786250	250	*	1	5.41697778606765e-37	1.16893424597896
chr21	36113001	36113250	250	*	1	9.77321534198705e-37	1.18725990950635
chr21	46229001	46229250	250	*	1	1.72707723894834e-36	1.3593977097507
chr21	39518501	39518750	250	*	1	7.21361925302623e-36	1.07948445632176
chr21	39441501	39441750	250	*	1	8.34355568151137e-36	1.12441548176583
chr21	37009751	37010000	250	*	1	8.85869495458194e-36	0.998279050442646
chr21	43612001	43612250	250	*	1	3.70846822022198e-35	1.24785791846038
chr21	44793501	44793750	250	*	1	4.69426937017862e-35	1.01346572480814
chr21	34801501	34801750	250	*	1	5.64337238086482e-35	1.17413947181579
chr21	37700751	37701000	250	*	1	1.19469183690453e-34	1.13306684370539
chr21	32258251	32258500	250	*	1	1.75836183536176e-34	1.44121909542534
chr21	36209751	36210000	250	*	1	2.17915281111954e-34	1.09782473270143
chr21	45099001	45099250	250	*	1	4.25292826732874e-34	1.16738111894688
chr21	36990251	36990500	250	*	1	8.76791991878839e-34	1.12644231246824
chr21	43811001	43811250	250	*	1	1.61742701239629e-33	1.02442325060499
chr21	33374751	33375000	250	*	1	6.99117623263739e-33	0.96821952180133
chr21	45556251	45556500	250	*	1	7.65527920825179e-33	0.950277586206217
chr21	36542751	36543000	250	*	1	1.7609068004562e-32	1.05422493402877
chr21	23968751	23969000	250	*	1	1.78086368914279e-32	1.22626820619176
chr21	20999751	21000000	250	*	1	4.51067843731802e-32	1.2852794174622
chr21	46229251	46229500	250	*	1	6.54362408344072e-32	1.32177130250246
chr21	29499751	29500000	250	*	1	8.7954394079739e-32	1.36486852889018
chr21	30044501	30044750	250	*	1	1.0760536387634e-31	1.41702644565518
chr21	33606001	33606250	250	*	1	1.6502275955504e-31	1.09126681684684
chr21	41612751	41613000	250	*	1	1.6502275955504e-31	1.09126681684684
chr21	36977251	36977500	250	*	1	3.75395147377982e-31	1.03048549384918
chr21	17387001	17387250	250	*	1	1.42099073109696e-30	0.990464642161244
chr21	39518251	39518500	250	*	1	2.58126227170627e-30	1.02372714098026
chr21	41134001	41134250	250	*	1	2.87437215626096e-30	1.26934689197811
chr21	34603251	34603500	250	*	1	4.97981316840783e-30	1.11419586879135
chr21	29376751	29377000	250	*	1	6.00536449920184e-30	1.34813917309478
chr21	34582751	34583000	250	*	1	8.2496273057464e-30	1.20318861162897
chr21	43645501	43645750	250	*	1	1.26752445925228e-29	1.04493930986142
chr21	25608501	25608750	250	*	1	2.89274966524817e-29	0.914615136362752
chr21	29376501	29376750	250	*	1	6.38051636543705e-29	1.19512751707381
chr21	14864501	14864750	250	*	1	7.24044273449425e-29	0.919565135497508
chr21	37166751	37167000	250	*	1	8.73334943170754e-29	1.03774495815229
chr21	44893001	44893250	250	*	1	1.40193316410336e-28	1.14248152131425
chr21	45137001	45137250	250	*	1	1.63001536751518e-28	0.962874483539959
chr21	32653251	32653500	250	*	1	2.64302188911242e-28	1.16339894943533
chr21	42108001	42108250	250	*	1	3.33104191381634e-28	0.993504714168651
chr21	45128501	45128750	250	*	1	4.15227753860648e-28	0.897291421499848
chr21	30831251	30831500	250	*	1	6.29734623664354e-28	1.44614554964146
chr21	34243751	34244000	250	*	1	8.41080557932521e-28	1.21345398361325
chr21	29164501	29164750	250	*	1	1.02359346631819e-27	1.13442042675909
chr21	33924251	33924500	250	*	1	1.02769237816925e-27	0.955976790732486
chr21	34630751	34631000	250	*	1	1.03829746334974e-27	0.901747048357305
chr21	31604501	31604750	250	*	1	1.29606940563149e-27	1.0419408608727
chr21	36854501	36854750	250	*	1	1.93744762116563e-27	1.15513882514926
chr21	38505751	38506000	250	*	1	3.71234610074132e-27	1.10775302475283
chr21	42337751	42338000	250	*	1	3.71234610074132e-27	1.10775302475283
chr21	25386001	25386250	250	*	1	6.56691840132765e-27	0.911405143136637
chr21	45152501	45152750	250	*	1	6.56691840132765e-27	0.911405143136637
chr21	27701001	27701250	250	*	1	1.08252997385517e-26	1.23500743121725
chr21	14773751	14774000	250	*	1	6.13580552522973e-26	1.02637894250308
chr21	29196251	29196500	250	*	1	7.1140931970234e-26	0.783041859501293
chr21	24896251	24896500	250	*	1	7.79491133080604e-26	0.997146481212742
chr21	34367501	34367750	250	*	1	8.49734425486613e-26	1.22584212966215
chr21	41121751	41122000	250	*	1	1.06970901797895e-25	1.13798039210868
chr21	38352501	38352750	250	*	1	1.35274394613926e-25	1.03853641546027
chr21	43918251	43918500	250	*	1	1.78824867518566e-25	1.00731290261318
chr21	29348501	29348750	250	*	1	2.17730240326719e-25	0.881466471443765
chr21	25708501	25708750	250	*	1	2.53469009028066e-25	0.93438707846386
chr21	44932501	44932750	250	*	1	2.95647010509767e-25	1.35267569176886
chr21	42338001	42338250	250	*	1	3.70055611481694e-25	1.1866785770927
chr21	37582751	37583000	250	*	1	6.51805632431498e-25	1.21641866075807
chr21	44950001	44950250	250	*	1	9.17094315653647e-25	1.0302762911742
chr21	37582501	37582750	250	*	1	1.08268477633272e-24	1.25108537380952
chr21	31581001	31581250	250	*	1	1.49757955294773e-24	1.15162275475785
chr21	44012501	44012750	250	*	1	1.49757955294773e-24	1.15162275475785
chr21	39867251	39867500	250	*	1	3.14133200232993e-24	1.40554954441749
chr21	31866251	31866500	250	*	1	5.70771751822253e-24	1.11989418711937
chr21	43611751	43612000	250	*	1	6.20825587419541e-24	1.02180705966486
chr21	26716001	26716250	250	*	1	2.00953438189575e-23	1.33176233349724
chr21	41170501	41170750	250	*	1	2.02773506480607e-23	1.09091566444313
chr21	32403251	32403500	250	*	1	2.1234380223448e-23	1.16755850527089
chr21	14864251	14864500	250	*	1	2.14361762624423e-23	0.972953831442586
chr21	32653501	32653750	250	*	1	3.08949309545304e-23	1.04871571891255
chr21	43646501	43646750	250	*	1	5.10788052221671e-23	0.982522452262612
chr21	17679251	17679500	250	*	1	5.97228916888603e-23	0.93229110252811
chr21	32826501	32826750	250	*	1	6.624706707055e-23	1.23080603207378
chr21	45439251	45439500	250	*	1	9.47441167850084e-23	1.02571640464442
chr21	30341001	30341250	250	*	1	1.07311064033651e-22	1.27134429244617
chr21	36966501	36966750	250	*	1	1.8256698053007e-22	1.79774662375042
chr21	34745751	34746000	250	*	1	2.97976065539669e-22	1.10077411529756
chr21	36125751	36126000	250	*	1	3.61531404913986e-22	0.947369690990815
chr21	14403751	14404000	250	*	1	6.33867680209866e-22	0.855990776228079
chr21	46504251	46504500	250	*	1	6.40065355149643e-22	1.01655110308932
chr21	44801001	44801250	250	*	1	9.17974060196155e-22	0.931087856569847
chr21	35940251	35940500	250	*	1	1.31177931955196e-21	1.30945403056637
chr21	25039751	25040000	250	*	1	1.36485840233641e-21	0.84466859554128
chr21	35051251	35051500	250	*	1	2.12910593520545e-21	1.09078807126294
chr21	44456001	44456250	250	*	1	2.20634276261018e-21	1.45414361901208
chr21	38334001	38334250	250	*	1	3.22423749528878e-21	1.04512819061506
chr21	25862501	25862750	250	*	1	3.96294054418222e-21	1.20921771964575
chr21	44012751	44013000	250	*	1	4.2581055397726e-21	1.00712763418524
chr21	29090001	29090250	250	*	1	5.51388499235004e-21	0.9468744949678
chr21	33360751	33361000	250	*	1	5.51388499235004e-21	0.9468744949678
chr21	14259751	14260000	250	*	1	5.55883814317334e-21	0.922398655038605
chr21	25314001	25314250	250	*	1	5.55883814317334e-21	0.922398655038605
chr21	29164251	29164500	250	*	1	6.59230428085723e-21	1.2490359895153
chr21	21164001	21164250	250	*	1	6.90522059054135e-21	1.0618095485867
chr21	45554751	45555000	250	*	1	7.46559256328585e-21	0.836797164612354
chr21	34509251	34509500	250	*	1	8.45972776367586e-21	1.13665910296465
chr21	43356001	43356250	250	*	1	2.80134817892126e-20	0.997431031267506
chr21	41122001	41122250	250	*	1	2.98286344056328e-20	1.19787766857241
chr21	43718751	43719000	250	*	1	2.98286344056328e-20	1.19787766857241
chr21	38805001	38805250	250	*	1	3.41241787649214e-20	0.937709193412695
chr21	33361001	33361250	250	*	1	3.53383786684802e-20	0.782304122470252
chr21	29372251	29372500	250	*	1	4.13072881471036e-20	0.828736070057194
chr21	32601251	32601500	250	*	1	5.09506736454225e-20	1.23729804580781
chr21	39373751	39374000	250	*	1	5.09506736454225e-20	1.23729804580781
chr21	20999501	20999750	250	*	1	1.20084543092911e-19	1.15351435260323
chr21	37642751	37643000	250	*	1	1.20084543092911e-19	1.15351435260323
chr21	38669251	38669500	250	*	1	1.20084543092911e-19	1.3467146932833
chr21	41167751	41168000	250	*	1	1.20084543092911e-19	1.15351435260323
chr21	45973501	45973750	250	*	1	1.45125071398999e-19	1.02484884887931
chr21	25283751	25284000	250	*	1	2.09544315149769e-19	0.928285724508616
chr21	17925251	17925500	250	*	1	2.16422314469165e-19	1.09063502877226
chr21	34722751	34723000	250	*	1	2.16422314469165e-19	1.09063502877226
chr21	37759001	37759250	250	*	1	3.94967597820998e-19	1.22513326892566
chr21	45102751	45103000	250	*	1	7.21190705208736e-19	1.05890646113378
chr21	34367251	34367500	250	*	1	8.93039966073013e-19	1.14177640889574
chr21	31109001	31109250	250	*	1	1.18067104390367e-18	0.977151689531758
chr21	45818251	45818500	250	*	1	1.70341043900461e-18	1.17397494798277
chr21	44267751	44268000	250	*	1	5.0654537604283e-18	1.04756641006044
chr21	31623751	31624000	250	*	1	5.22905321866316e-18	1.25980859521819
chr21	45542251	45542500	250	*	1	5.35306995764957e-18	2.712524469973
chr21	41460501	41460750	250	*	1	6.60362455828999e-18	1.00326053645128
chr21	43355751	43356000	250	*	1	8.1018747327117e-18	0.935413672074399
chr21	28940251	28940500	250	*	1	2.01937929783943e-17	0.916347632184496
chr21	41283501	41283750	250	*	1	2.36008703795362e-17	1.09044807944414
chr21	42164251	42164500	250	*	1	4.15247082175568e-17	1.24615422927531
chr21	34890251	34890500	250	*	1	4.88499893258872e-17	1.11698780439991
chr21	42593501	42593750	250	*	1	9.30921743675355e-17	1.38564296733093
chr21	37463251	37463500	250	*	1	1.23766629134178e-16	0.905727571614004
chr21	34352001	34352250	250	*	1	1.69408788778714e-16	1.07782425183045
chr21	40144001	40144250	250	*	1	3.5877761033278e-16	1.10386891725505
chr21	14738001	14738250	250	*	1	5.92769520676148e-16	0.733262552218822
chr21	42923751	42924000	250	*	1	6.9921162722438e-16	0.763675388452945
chr21	36104751	36105000	250	*	1	7.24205990974335e-16	1.13457786728136
chr21	36917501	36917750	250	*	1	7.24205990974335e-16	1.13457786728136
chr21	26850251	26850500	250	*	1	7.77316815603437e-16	0.955484696591031
chr21	37564501	37564750	250	*	1	7.89128657507808e-16	0.922703876085383
chr21	42145751	42146000	250	*	1	9.12881160761974e-16	0.817007046793484
chr21	44875501	44875750	250	*	1	9.12881160761974e-16	0.817007046793484
chr21	42818251	42818500	250	*	1	1.60473198419609e-15	1.01103986185713
chr21	42974501	42974750	250	*	1	1.60473198419609e-15	1.01103986185713
chr21	37712001	37712250	250	*	1	2.54207139065997e-15	1.09021455131217
chr21	44510751	44511000	250	*	1	2.54207139065997e-15	1.09021455131217
chr21	33196751	33197000	250	*	1	3.09816205956924e-15	0.838766866084098
chr21	22792001	22792250	250	*	1	3.7819976891773e-15	0.859606558484672
chr21	34583001	34583250	250	*	1	4.22902373073674e-15	1.27527813220584
chr21	26849501	26849750	250	*	1	4.48957783958923e-15	0.982061339180888
chr21	38159501	38159750	250	*	1	4.85293914856549e-15	0.943319919708879
chr21	44297501	44297750	250	*	1	4.90091734084563e-15	0.806713749092354
chr21	16330251	16330500	250	*	1	6.30644069338684e-15	1.35376441092603
chr21	17387251	17387500	250	*	1	6.40331655261019e-15	0.823929427417121
chr21	32771751	32772000	250	*	1	8.54559015174164e-15	0.706753101865199
chr21	32921751	32922000	250	*	1	1.19042549273408e-14	0.955393937174628
chr21	34801751	34802000	250	*	1	1.78617660607261e-14	1.07597912578847
chr21	45309001	45309250	250	*	1	1.78617660607261e-14	1.07597912578847
chr21	20882501	20882750	250	*	1	1.91441008044846e-14	1.20149092128559
chr21	46147251	46147500	250	*	1	1.91441008044846e-14	1.20149092128559
chr21	36260501	36260750	250	*	1	2.03036866823258e-14	0.724317629022223
chr21	43269501	43269750	250	*	1	2.44565349072958e-14	1.01599517640787
chr21	36917751	36918000	250	*	1	3.30659747594259e-14	1.25895931281092
chr21	32136251	32136500	250	*	1	4.19067229629932e-14	2.63789301463161
chr21	46325251	46325500	250	*	1	4.49478951488019e-14	0.831984672990367
chr21	18499751	18500000	250	*	1	6.92776953650711e-14	0.984266608769389
chr21	36028751	36029000	250	*	1	7.29322734094269e-14	0.907696777827075
chr21	16330501	16330750	250	*	1	7.5784314895382e-14	1.14107288023452
chr21	44013751	44014000	250	*	1	9.27140991993472e-14	0.816458563153225
chr21	37221001	37221250	250	*	1	1.68693561443605e-13	0.705209900418184
chr21	31509751	31510000	250	*	1	1.84494629525088e-13	0.955288086093152
chr21	43645751	43646000	250	*	1	1.84757721160129e-13	0.917577204950342
chr21	39716001	39716250	250	*	1	2.59342203613582e-13	1.24180353172988
chr21	42010501	42010750	250	*	1	2.59342203613582e-13	1.24180353172988
chr21	41877001	41877250	250	*	1	2.67643821799357e-13	1.08991455929164
chr21	14774001	14774250	250	*	1	3.67778304591669e-13	0.78741384997103
chr21	45923251	45923500	250	*	1	3.78156300637939e-13	1.02194742776298
chr21	15730251	15730500	250	*	1	3.9048593431974e-13	2.61630890063605
chr21	44911501	44911750	250	*	1	4.13922373591459e-13	1.3185253714034
chr21	31180751	31181000	250	*	1	4.42412632316926e-13	0.970031183245687
chr21	36209501	36209750	250	*	1	4.42412632316926e-13	0.970031183245687
chr21	34693501	34693750	250	*	1	4.57976476393411e-13	0.928620684086891
chr21	27701251	27701500	250	*	1	5.65352295805618e-13	1.43219460336175
chr21	31874001	31874250	250	*	1	5.65352295805618e-13	1.43219460336175
chr21	44295751	44296000	250	*	1	6.46042922649961e-13	0.824363786821697
chr21	44801251	44801500	250	*	1	6.46042922649961e-13	0.824363786821697
chr21	26169001	26169250	250	*	1	8.4452246358865e-13	1.04555124332245
chr21	31198751	31199000	250	*	1	9.78059909471007e-13	0.873058440737209
chr21	25862751	25863000	250	*	1	1.05031182759829e-12	0.986891605428139
chr21	38733751	38734000	250	*	1	1.05031182759829e-12	0.986891605428139
chr21	31559001	31559250	250	*	1	1.06834431101019e-12	1.16801632080963
chr21	46324751	46325000	250	*	1	1.08846727081527e-12	0.903922839007461
chr21	45138751	45139000	250	*	1	1.12349245136208e-12	0.941052660569449
chr21	36589251	36589500	250	*	1	2.14080265700369e-12	0.852839873224859
chr21	33361501	33361750	250	*	1	2.41084063383331e-12	0.748088724291861
chr21	42513501	42513750	250	*	1	2.46736144758188e-12	1.006387690753
chr21	42850751	42851000	250	*	1	2.46736144758188e-12	1.006387690753
chr21	15592251	15592500	250	*	1	2.76574859849089e-12	0.914385258563189
chr21	42467251	42467500	250	*	1	3.44262006670025e-12	0.653705768238875
chr21	14120001	14120250	250	*	1	3.8937855228154e-12	1.10759827975856
chr21	32096501	32096750	250	*	1	3.8937855228154e-12	1.10759827975856
chr21	35940501	35940750	250	*	1	3.8937855228154e-12	1.10759827975856
chr21	15592501	15592750	250	*	1	6.78437028148394e-12	0.971331868418152
chr21	42233751	42234000	250	*	1	6.93953520219791e-12	0.795458124787049
chr21	41610251	41610500	250	*	1	6.95977846606174e-12	0.926184515113419
chr21	38712251	38712500	250	*	1	7.89690441880868e-12	1.14993306236805
chr21	39441751	39442000	250	*	1	9.27897930505757e-12	0.815735981005596
chr21	45970501	45970750	250	*	1	1.28371292538359e-11	1.05643995881568
chr21	36927501	36927750	250	*	1	1.34598482320141e-11	0.779932014949906
chr21	46143751	46144000	250	*	1	1.35400231625949e-11	0.712903530682309
chr21	33200001	33200250	250	*	1	1.35539961661097e-11	0.630650867568426
chr21	21003751	21004000	250	*	1	1.4825648692733e-11	1.20460349457474
chr21	31781001	31781250	250	*	1	1.4825648692733e-11	1.20460349457474
chr21	38796501	38796750	250	*	1	1.4825648692733e-11	1.20460349457474
chr21	33230501	33230750	250	*	1	1.64000467074302e-11	0.899517113107158
chr21	46286001	46286250	250	*	1	1.64000467074302e-11	0.899517113107158
chr21	46635001	46635250	250	*	1	2.52919575412244e-11	0.76509457628293
chr21	17926001	17926250	250	*	1	4.23961715329376e-11	0.910624778103432
chr21	25040001	25040250	250	*	1	4.72408014810111e-11	0.750887301767712
chr21	42467501	42467750	250	*	1	6.68300346336748e-11	0.681069039153075
chr21	25561751	25562000	250	*	1	8.64060944900330e-11	0.737258837387671
